en	de	fr	ja	cn	ko	lineno
'Stack => Out'	'Stack => Raus'	'Se rassembler => Dehors'	'頭割り => 離れる'	'集合 => 远离'	'쉐어 => 밖으로'	unending_coil_ultimate.js line#389
'In => Stack'	'Rein => Stack'	'Dedans => Se rassembler'	'密着 => 頭割り'	'靠近 => 集合'	'안으로 => 쉐어'	unending_coil_ultimate.js line#407
'In => Out'	'Rein => Raus'	'Dedans => Dehors'	'密着 => 離れる'	'靠近 => 远离'	'안으로 => 밖으로'	unending_coil_ultimate.js line#425
'Away from Tank => Stack'	'Weg vom Tank => Stack'	'S\'éloigner du tank => Se rassembler'	'タンクから離れる => 頭割り'	'远离坦克 => 集合'	'탱커 피하기 => 쉐어'	unending_coil_ultimate.js line#445
'Spread => Away from Tank'	'Verteilen => Weg vom Tank'	'Se dispercer => S\'éloigner du Tank'	'散開 => タンクから離れる'	'分散 => 远离坦克'	'산개 => 탱커 피하기'	unending_coil_ultimate.js line#465
'Spread => In'	'Verteilen => Rein'	'Se dispercer => Dedans'	'散開 => 密着'	'分散 => 靠近'	'산개 => 안으로'	unending_coil_ultimate.js line#484
'In => Spread'	'Rein => Verteilen'	'Dedans => Se dispercer'	'密着 => 散開'	'靠近 => 分散'	'안으로 => 산개'	unending_coil_ultimate.js line#503
'In => Out => Spread'	'Rein => Raus => Verteilen'	'Dedans => Dehors => Se dispercer'	'密着 => 離れる => 散開'	'靠近 => 远离 => 分散'	'안으로 => 밖으로 => 산개'	unending_coil_ultimate.js line#522
'In => Spread => Stack'	'Rein => Verteilen => Stack'	'Dedans => Se dispercer => Se rassembler'	'密着 => 散開 => 頭割り'	'靠近 => 分散 => 集合'	'안으로 => 산개 => 쉐어'	unending_coil_ultimate.js line#541
'Out => Stack => Spread'	'Raus => Stack => Verteilen'	'Dehors => Se rassembler => Se dispercer'	'離れる => 頭割り => 散開'	'远离 => 集合 => 分散'	'밖으로 => 쉐어 => 산개'	unending_coil_ultimate.js line#560
'Out => Spread => Stack'	'Raus => Verteilen => Stack'	'Dehors => Se dispercer => Se rassembler'	'離れる => 散開 => 頭割り'	'远离 => 分散 => 集合'	'밖으로 => 산개 => 쉐어'	unending_coil_ultimate.js line#579
'Thunder on YOU'	'Blitz auf DIR'	'Foudre sur VOUS'	'自分にサンダー'	'雷点名'	'나에게 번개'	unending_coil_ultimate.js line#601
'Fire IN'	'Feuer INNEN'	'Feu EN DEDANS'	'ファイアボールは密着'	'火进'	'불 같이맞기'	unending_coil_ultimate.js line#764
'Twisters'	'Wirbelstürme'	'Tornades'	'ツイスター'	'旋风冲'	'회오리'	unending_coil_ultimate.js line#1280
'Gigaflare'	'Gigaflare'	'GigaBrasier'	'ギガフレア'	'十亿核爆'	'기가플레어'	unending_coil_ultimate.js line#1305
'Megaflare Stack'	'Megaflare Stack'	'MegaBrasier rassemblement'	'メガフレア頭割り'	'百万核爆集合'	'기가플레어 쉐어'	unending_coil_ultimate.js line#1328
'Earthshaker on YOU'	'Erdstoß auf Dir'	'Secousse sur VOUS'	'自分にアースシェイカー'	'地震点名'	'나에게 어스징'	unending_coil_ultimate.js line#1440
﻿'Get In Bubble'	'Geh in die Blase'	'Allez dans une bulle'		'进气泡'	'물방울 안으로'	royal_city_of_rabanastre.js line#46
'Breathless: ' + (data.breathless + 1)	'Atemnot: ' + (data.breathless + 1)	'Suffocation :' + (data.breathless + 1)		'窒息: ' + (data.breathless + 1)	'호흡곤란: ' + (data.breathless + 1)	royal_city_of_rabanastre.js line#56
'bubble'	'blase'	'bulle'		'进气泡'	'숨쉬어!'	royal_city_of_rabanastre.js line#66
'Move'	'Bewegen'	'Bougez'		'移动'	'움직이기'	royal_city_of_rabanastre.js line#265
'Look Away'	'Wegschauen'	'Regardez ailleurs'		'背对boss'	'바라보기'	royal_city_of_rabanastre.js line#288
'Look Towards'	'Anschauen'	'Regardez le boss'		'面对boss'	'바라보지 말기'	royal_city_of_rabanastre.js line#295
'Heal ' + data.shortName(matches.target) + ' soon'		'Soignez ' + data.shortName(matches.target) + ' bientôt'		﻿'马上奶 ' + data.shortName(matches.target)		temple_of_the_fist.js line#150
﻿'wraiths: ' + data.wraithCount	'Geister: ' + data.wraithCount	'spectres: ' + data.wraithCount		'幽灵击杀: ' + data.wraithCount		eureka_anemos.js line#206
﻿'Orb on YOU'	'Orb auf DIR'			'点名'		eureka_hydatos.js line#168
'Away From Orb Marker'	'Weg vom Orb-Marker'			'远离点名'		eureka_hydatos.js line#177
'Away From Light Circles'	'Weg von hellen Kreisen'			'远离白圈'		eureka_hydatos.js line#509
'Away From Dark Circles'	'Weg von dunklen Kreisen'			'远离黑圈'		eureka_hydatos.js line#516
'Stand By Dark Circles'	'Zu den dunklen Kreisen'			'靠近黑圈'		eureka_hydatos.js line#525
'Stand By Light Circles'	'zu den hellen Kreisen'			'靠近白圈'		eureka_hydatos.js line#532
'Dark'	'Dunkel'			'黑'		eureka_hydatos.js line#556
'Dark'	'Dunkel'			'黑'		eureka_hydatos.js line#602
'Black Hole ' + data.blackHoleCount + ' / 6'	'Schwarzes Loch ' + data.blackHoleCount + ' / 6'			'黑洞 ' + data.blackHoleCount + ' / 6'		eureka_hydatos.js line#663
'Black Hole ' + data.blackHoleCount	'Schwarzes Loch ' + data.blackHoleCount			'黑洞 ' + data.blackHoleCount		eureka_hydatos.js line#670
'Stack (if not tanking)'	'Stack (wenn nicht am tanken)'			'集合（如果没在坦怪）'		eureka_hydatos.js line#750
'Stack Up'	'Stacken'			'集合'		eureka_hydatos.js line#756
'Offtanks Get Orbs'	'Offtanks holt Kugeln'			'ST撞球'		eureka_hydatos.js line#796
'Stack Away From Tank'	'Weg vom Tank stacken'			'远离坦克集合'		eureka_hydatos.js line#805
'Go To Cardinals'	'Geh zu den Kanten'	'Allez sur les points cardinaux'		'去正点'		o10n.js line#82
'Go To Corners'	'In die Ecken'	'Allez dans les coins'		'去角落'		o10n.js line#108
﻿'Fire Marker on YOU'	'Feuer Marker auf DIR'	'Feu sur VOUS'	'マーカー on YOU'	'火点名'	'불징 대상자'	o10s.js line#34
﻿'Move (Left)'	'Bewegen (Links)'	'Bougez (Gauche)'		'去左边'		o11n.js line#100
'Stay (Left)'	'Stehenbleiben (Links)'	'Restez ici (Gauche)'		'呆在左边'		o11n.js line#106
'Stay (Right)'	'Stehenbleiben (Rechts)'	'Restez ici (Droite)'		'呆在右边'		o11n.js line#126
'Move (Right)'	'Bewegen (Rechts)'	'Bougez (droite)'		'去右边'		o11n.js line#132
'Monitors Left'	'Monitore Links'	'Moniteur Gauche'		'探测左边'	'모니터 왼쪽'	o12s.js line#232
'Dodge Left'	'Links ausweichen'	'Evitez à gauche'		'左侧躲闪'	'오른쪽으로'	o12s.js line#240
'Monitors Right'	'Monitore Rechts'	'Moniteur Droite'		'探测右边'	'모니터 오른쪽'	o12s.js line#259
'Dodge Right'	'Rechts ausweichen'	'Evitez à droite'		'右侧躲闪'	'왼쪽으로'	o12s.js line#267
'Vuln on YOU'	'Verwundbarkeit auf DIR'	'Vulnérabilité sur VOUS'	'標的 on YOU'	'目标识别'	'표적식별 대상자'	o12s.js line#281
'Vuln on ' + data.ShortName(matches.target)	'Verwundbarkeit auf ' + data.ShortName(matches.target)	'Vulnérabilité sur ' + data.ShortName(matches.target)	'標的 on ' + data.ShortName(matches.target)	'目标识别->' + data.ShortName(matches.target)	"'""' + data.ShortName(matches.target) + '"" 표적식별'"	o12s.js line#294
'Short Stack on YOU'	'Kurzer Stack auf YOU'	'Marque courte sur VOUS'	'早シェア on YOU'	'短D'	'8초 치명적오류:분배(쉐어)'	o12s.js line#422
'Long Stack on YOU'	'Langer Stack auf YOU'	'Marque longue sur VOUS'	'遅シェア on YOU'	'长D'	'13초 치명적오류:분배(쉐어)'	o12s.js line#431
'Short Stack on ' + data.ShortName(matches.target)	'Kurzer Stack auf ' + data.ShortName(matches.target)	'Marque courte sur ' + data.ShortName(matches.target)	'早シェア on ' + data.ShortName(matches.target)	'短D->' + data.ShortName(matches.target)	"'""' + data.ShortName(matches.target) + '"" 쉐어'"	o12s.js line#450
'No Marker'	'Kein Marker'	'Aucun marqueur'	'無職'	'闲D'	'무징 대상자'	o12s.js line#481
'Stack on ' + data.ShortName(player)	'Stacken auf ' + data.ShortName(player)	'Packez-vous sur ' + data.ShortName(player)	data.ShortName(player) + 'とスタック'	'与' + data.ShortName(player) + '集合'	"'""' + data.ShortName(player) + '"" 쉐어'"	o12s.js line#534
'Earthquake: Levitate'	'Erdbeben: Schweben'			'与' + data.ShortName(player) + '集合'		o2s.js line#103
'Earthquake'	'Erdbeben'			'地震：漂浮'		o2s.js line#111
'levitate'	'schweben'			'地震'		o2s.js line#119
'DPS up, T/H down'	'DDs hoch, T/H runter'			'DPS升起，T奶下降'		o2s.js line#144
'Maniacal Probe: Tanks & Healers'	'Tentakeltanz: Tanks & Heiler'			'触手点名，T奶触手'		o2s.js line#179
'Maniacal Probe: DPS'	'Tentakeltanz: DDs'			'触手点名，DPS'		o2s.js line#184
'Maniacal Probe: Tanks & Healers'	'Tentakeltanz: Tanks & Heiler'			'T奶触手'		o2s.js line#193
'Maniacal Probe: DPS'	'Tentakeltanz: DDs'			'DPS触手'		o2s.js line#198
'dps probe'	'dee dees tentakel'			'dps触手'		o2s.js line#206
'tank heal probe'	'tenks heiler tentakel'			'T奶触手'		o2s.js line#211
'6 Fulms Under: Levitate'	'Versinkend: Schweben'			'下陷：悬浮'		o2s.js line#252
'6 Fulms Under'	'Versinkend'			'下陷'		o2s.js line#260
﻿'Stack on YOU'	'Stack auf DIR'			'分摊点名'		o3s.js line#64
'Get out'	'Raus da'			'出去'		o3s.js line#75
'Stack on ' + data.holyTargets[1]	'Stack auf ' + data.holyTargets[1]			'分摊' + data.holyTargets[1]		o3s.js line#81
'others stack on ' + data.holyTargets[1]	'andere stacken auf ' + data.holyTargets[1]			'其他分摊'+ data.holyTargets[1]		o3s.js line#89
'stack on you'	'stack auf dir'			'分摊点名'		o3s.js line#98
'get out'	'raus da'			'出去'		o3s.js line#105
'stack on ' + data.holyTargets[1]	'stack auf ' + data.holyTargets[1]			'分摊' + data.holyTargets[1]		o3s.js line#111
'Go south: stack on YOU'	'Nach Süden: stack auf DIR'			'去南边分摊点名'		o3s.js line#147
'go north'	'nach norden'			'去南边'		o3s.js line#153
'go south: stack on friend'	'nach süden: stack auf freund'			'去南边分摊'		o3s.js line#158
'stack outside'	'außen stacken'			'去外面分摊'		o3s.js line#169
'go north'	'nach norden'			'去南边'		o3s.js line#175
'stack inside'	'innen stacken'			'去里面分摊'		o3s.js line#180
﻿'Stack on ' + data.ShortName(matches.target)	'Sammeln auf ' + data.ShortName(matches.target)			'分摊' + data.holyTargets[1]		o4n.js line#154
'Thunder III: Tank buster'	'Blitzga: Tank buster'			'雷三：坦克死刑'		o4s.js line#76
'Thunder III'	'Blitzga'			'雷三'		o4s.js line#85
'thunder'	'blitzga'			'远离'		o4s.js line#92
'Flare on you'	'Flare auf dir'			'核爆点名'		o4s.js line#148
'Die on Inside'	'Innen sterben'			'在里面死亡'		o4s.js line#364
'Go Outside'	'Nach Außen'			'去外面'		o4s.js line#372
'die in in in'	'sterben rein rein rein'			'死亡'		o4s.js line#380
'out out out'	'raus raus raus'			'出去出去'		o4s.js line#385
'Die on Outside'	'Außen sterben'			'在外面死亡'		o4s.js line#406
'Go Inside'	'Rein gehen'			'去里面'		o4s.js line#414
'die out out out'	'sterben raus raus raus'			'在外面死亡'		o4s.js line#422
'in in in'	'rein rein rein'			'进去进去'		o4s.js line#427
'Die On Right Blue'	'In Blauem rechts sterben'			'在右边蓝色死亡'		o4s.js line#451
'Die On Left Purple'	'In Pinkem links sterben'			'在左边紫色死亡'		o4s.js line#456
'Die on color sides'	'Auf Farben sterben'			'在同色一边死亡'		o4s.js line#461
'Left On Purple'	'Links auf Pink'			'左边紫色'		o4s.js line#471
'Right On Blue'	'Rechts auf Blau'			'右边蓝色'		o4s.js line#476
'Color sides'	'Farbige Seiten'			'颜色一侧'		o4s.js line#481
'Die On Left Blue'	'Auf Blauem links sterben'			'在左边蓝色死亡'		o4s.js line#509
'Die On Right Purple'	'Auf Pinkem rechts sterben'			'在右边紫色死亡'		o4s.js line#514
'Die on color sides'	'Auf Farben sterben'			'在同色一边死亡'		o4s.js line#519
'Be Right On Purple'	'Rechts auf Pink'			'去右边紫色'		o4s.js line#529
'Be Left On Blue'	'Links auf Blau'			'去左边蓝色'		o4s.js line#534
'Color sides'	'Farbige Seiten'			'颜色一侧'		o4s.js line#539
'Charge: be behind other tank'	'Aufladung: hinter anderen Tank'			'站在另一个坦克后面'		o4s.js line#584
'Charge: be in the very back'	'Aufladung: Ganz nach hinten'			'去后面'		o4s.js line#589
'Charge: be in front!'	'Aufladung: Ganz nach vorn'			'去前面'		o4s.js line#595
'Charge: be behind tanks'	'Aufladung: Hinter die Tanks'			'站在坦克后面'		o4s.js line#600
'Double Attack'	'Doppelangriff'			'双重攻击'		o4s.js line#620
'Double Attack: Get out'	'Doppelangriff: Raus da'			'双重攻击：去外面'		o4s.js line#625
'Grand Cross Delta: Be in front of boss'	'Supernova Delta: Vor den Boss'			'站在boss前面'		o4s.js line#662
'Grand Cross Delta: Be on sides of boss'	'Supernova Delta: An die Seiten vom Boss'			'站在boss后面'		o4s.js line#668
'Grand Cross Delta: Inside boss'	'Supernvoa Delta: In den Boss'			'站在boss中间'		o4s.js line#673
'delta: be in front'	'delta: vor den boss'			'去前面'		o4s.js line#680
'delta: be on sides'	'delta: an die seiten'			'去两侧'		o4s.js line#686
'delta: be inside boss'	'delta: in den boss'			'去boss中间'		o4s.js line#691
'look away and stop'	'wegschauen und stehenbleiben'			'看外面并静止'		o4s.js line#737
'stop'	'Stopp'			'静止'		o4s.js line#742
'water on you'	'wasser auf dir'			'水点名'		o4s.js line#819
'water: stack under neo'	'Wasser: Unter Neo stacken'			'去下面'		o4s.js line#824
'Stack on ' + data.waterHealer	'Stack auf '+ data.waterHealer			'分摊于'+ data.waterHealer		o4s.js line#852
'Stack on water'	'Bei Wasser stacken'			'和水点名分摊'		o4s.js line#857
'Stack under boss on ' + data.waterHealer	'Unter Boss auf ' + data.waterHealer + ' stacken'			'分摊于'+ data.waterHealer		o4s.js line#904
'Stack on water'	'Auf Wasser stacken'			'和水点名分摊'		o4s.js line#909
'Flare on you'	'Flare auf dir'			'核爆点名'		o4s.js line#980
'Light and Darkness: Stack'	'Licht und Dunkel: Stack'			'分摊点名'		o4s.js line#988
'flare on you'	'fleer auf dir'			'核爆点名'		o4s.js line#996
'stack'	'stek'			'分摊'		o4s.js line#1001
﻿'Demonic Stone on YOU'	'Dämonischer Stein auf DIR'	'Pierre démoniaque sur VOUS'	'デモニックストーン on YOU'	'引导aoe'	'악령의 돌 장판 → 나'	o6s.js line#49
﻿'Blue Marker on YOU'	'Aura-Kanone auf DIR'	'Marque Bleue sur VOUS'	'青玉 on YOU'	'蓝球点名'	'파란징 → 나'	o7s.js line#154
'Blue Marker on ' + data.ShortName(matches.target)	'Aura-Kanone auf ' + data.ShortName(matches.target)	'Marque Bleue sur ' + data.ShortName(matches.target)	'青玉 on ' + data.ShortName(matches.target)	'蓝球点名'+ data.ShortName(matches.target)	'파란징 → ' + data.ShortName(matches.target)	o7s.js line#165
'blue marker'	'aura-kanone'	'marque bleu'	'青玉ついた'	'蓝球'	'파란징'	o7s.js line#176
'Rot on you'	'Fäule auf DIR'	'Pourriture sur VOUS'	'ロット on YOU'	'以太病毒点名'	'에테르 → 나'	o7s.js line#239
'Rot on ' + data.ShortName(matches.target)	'Fäule auf ' + data.ShortName(matches.target)	'Pourriture sur ' + data.ShortName(matches.target)	'ロット on ' + data.ShortName(matches.target)	'以太病毒点名'+ data.ShortName(matches.target)	'에테르 → ' + data.ShortName(matches.target)	o7s.js line#247
'rot'	'fäule'	'pourriture'	'ロット'	'结束前传毒'		o7s.js line#259
﻿'Hyperdrive on YOU'	'Hyperantrieb auf DIR'	'Colonne de feu sur VOUS'		'死刑点名'		o8n.js line#21
'Hyperdrive on ' + data.ShortName(matches.target)	'Hyperantrieb auf ' + data.ShortName(matches.target)	'Colonne de feu sur ' + data.ShortName(matches.target)		'死刑点名'+ data.ShortName(matches.target)		o8n.js line#28
'buster'	'hyperantrieb'	'Colonne de feu'		'死刑'		o8n.js line#37
'Wings: Be Near/Far'	'Schwingen: Nah/Fern'	'Ailes : être près/loin'	'翼: めり込む/離れる'	'双翅膀：近或远'	'양날개: 가까이/멀리'	o8s.js line#216
'Max Melee: Avoid Tanks'	'Max Nahkampf: Weg von den Tanks'	'Max Mêlée : éloignez-vous des Tanks'	'近接最大レンジ タンクから離れて'	'最远距离'	'칼끝딜: 탱커 피하기'	o8s.js line#227
'wings'	'schwingen'	'Ailes, être près ou loin'	'翼'	'双翅膀'	'양날개'	o8s.js line#238
'max melee'	'max nahkampf'	'Max mêlée éloignez vous des tanks'	'最大レンジ'	'最远距离'	'칼끝딜'	o8s.js line#246
'Embrace on YOU'	'Umarmung auf DIR'	'Étreinte sur VOUS'	'双腕 on YOU'	'分摊死刑点名'	'종말의 포옹 → 나'	o8s.js line#283
'Embrace on ' + data.ShortName(matches.target)	'Umarmung auf ' + data.ShortName(matches.target)	'Étreinte sur ' + data.ShortName(matches.target)	'双腕 on ' + data.ShortName(matches.target)	'分摊死刑'+ data.ShortName(matches.target)	'종말의 포옹 → ' + data.ShortName(matches.target)	o8s.js line#296
'embrace'	'umarmung'	'Étreinte'	'双腕'	'分摊死刑'	'종말의 포옹'	o8s.js line#307
'hyperdrive'	'hyperantrieb'	'Colonne de feu'	'ハイパードライブ'	'圆形死刑'	'하이퍼드라이브'	o8s.js line#354
﻿'Die on Front/Back -> Sides'	'Stirb Vorne/Hinten -> Seiten'	'Devant/Derrière puis Côtés'	'縦 -> 横で死ぬ'	'死：前后 -> 左右'	'앞뒤 -> 양옆 (디버프)'	o9s.js line#33
'Sides -> Front/Back'	'Seiten -> Vorne/Hinten'	'Côtés puis Devant/Derrière'	'横 -> 縦'	'左右 -> 前后'	'양옆 -> 앞뒤'	o9s.js line#45
'die on back'	'hinten dran'	'aller derrière'	'縦から'	'前后找死'	'뒤에서 맞기 (디버프)'	o9s.js line#57
'go to sides'	'an die Seiten'	'aller sur les cotés'	'横から'	'左右闪避'	'양옆으로'	o9s.js line#66
'Die on Sides -> Front/Back'	'Stirb an Seiten -> Vorne/Hinten'	'Devant/Derrière puis Côtés'	'横 -> 縦で死ぬ'	'死：左右 -> 前后'	'양옆 -> 앞뒤 (디버프)'	o9s.js line#86
'Front/Back -> Sides'	'Vorne/Hinten -> Seiten'	'Devant/Derrière puis Côtés'	'縦 -> 横'	'前后 -> 左右'	'앞뒤 -> 양옆'	o9s.js line#98
'die on sides'	'an die Seiten'	'aller sur les cotés'	'横から'	'左右找死'	'양옆 (디버프)'	o9s.js line#110
'go to back'	'hinten dran'	'aller derrière'	'縦から'	'前后闪避'	'뒤로 이동'	o9s.js line#119
'Spread'	'Verteilen'	'Ecartez-vous'	'散開'	'分散'	'산개'	o9s.js line#209
'Spread and Stay'	'Verteilen und bleiben'	'Ecartez-vous et restez'	'散開して待機'	'分散并停留'	'산개하고 가만히'	o9s.js line#218
'Stack and Stay Out'	'Stack und Bleiben'	'Packez-vous et restez'	'中央に集合'	'中间集合'	'산개하고 바깥에 있기'	o9s.js line#228
'Drop Outside'	'Gehe Nord / Süd'	'Allez au Nord/Sud'	'メテオ捨てて'	'远离放点名'	'바깥으로 빼기'	o9s.js line#385
'Drop Outside + Knockback'	'Geh nächste Ecke nah am Tornado'	'Déposez dans les coins'	'メテオ捨てて + ノックバック'	'远离放点名 + 冲回人群'	'바깥으로 빼기 + 넉백'	o9s.js line#394
'Back to Tornado'	'Rücken zum Tornado'	'Regardez vers l\'extérieur'		'背对龙卷风'	'토네이도 뒤돌기'	o9s.js line#459
'Face the Tornado'	'Zum Tornado hin'	'Regardez la tornade'		'面对龙卷风'	'토네이도 바라보기'	o9s.js line#468
'Heal All to Full'	'Alle vollheilen'	'Soignez tout le monde full vie'	'HP戻して'	'奶满全队'	'전원 체력 풀피로'	o9s.js line#509
'Heal Tanks/Healers to full'	'Tanks/Heiler vollheilen'	'Soignez Heals/Tanks full vie'	'HP戻して'	'奶满T奶'	'탱/힐 체력 풀피로'	o9s.js line#518
'Back to DPS'	'Rücken zum DPS'	'Dos au DPS'	'DPSの後ろへ'	'背对DPS'	'딜러한테서 뒤돌기'	o9s.js line#610
﻿'Tank LB NOW'	'JETZT Tank LB'	'LB Tank maintenant !'	'今タンクLB'	'坦克LB'		byakko-ex.js line#157
'Tiger Add'	'Tiger Add'	'Add Tigre'	'虎分離'	'虎分离'		byakko-ex.js line#266
'Stack #' + data.stakeCount	'Stack #' + data.stakeCount	'Stack #' + data.stakeCount		'集合 #' + data.stakeCount		byakko-ex.js line#311
'Vrill + Stack on YOU'	'Vril + Stack auf DIR'			'元气攻击点名'		lakshmi-ex.js line#127
'Vrill + Stack'	'Vril + Stack'			'元气攻击'		lakshmi-ex.js line#132
'vrill and stack'	'vril und stek'			'元气攻击'		lakshmi-ex.js line#154
'Vrill for AOE'	'Vril fuer Flaechenangriff'			'元气AOE'		lakshmi-ex.js line#175
(data.chanchala ? 'Vrill + ' : '') + 'Cleave on YOU'	(data.chanchala ? 'Vril + ' : '') + 'Cleave auf DIR'			(data.chanchala ? '元气 ' : '') + '死刑点名'		lakshmi-ex.js line#189
(data.chanchala ? 'Vrill + ' : '') + 'Cross Marker'	(data.chanchala ? 'Vril + ' : '') + 'Kreuz-Marker'			(data.chanchala ? '元气 ' : '') + '十字点名'		lakshmi-ex.js line#202
(data.chanchala ? 'Vrill + ' : '') + 'Flower Marker'	(data.chanchala ? 'Vril + ' : '') + 'Blumen-Marker'			(data.chanchala ? '元气 ' : '') + '花点名'		lakshmi-ex.js line#215
﻿'Tank Swap'	'Tankwechsel'	'Tank Swap'	'スイッチ'	'换T'		seiryu-ex.js line#75
'Swap, then Buster'	'Tankwechsel, danach Tankbuster'	'Swap puis tankbuster'	'スイッチ後強攻撃'	'换T+死刑'		seiryu-ex.js line#84
'Spread (dps get towers)'	'Verteilen (nicht in den Turm)'	'Ecartez-vous (pas sur la tour)'	'散開 (DPSが塔)'	'分散（DPS踩塔）'		seiryu-ex.js line#163
'Spread (tanks/healers get towers)'	'Verteilen (nicht in den Turm)'	'Ecartez-vous (pas sur la tour)'	'散開 (タンクヒラが塔)'	'分散（坦克/治疗踩塔）'		seiryu-ex.js line#171
'Get Tower (tank/healer towers)'	'In den Turm'	'Sur votre tour'	'塔 (タンクヒラが塔)'	'踩塔（坦克/治疗踩塔）'		seiryu-ex.js line#190
'Get Tower (dps towers)'	'In den Turm'	'Sur votre tour'	'塔 (DPSが塔)'	'踩塔（DPS踩塔）'		seiryu-ex.js line#198
'Go To Snakes'	'Zu den Schlangen'	'Allez vers les serpents'	'蛇側へ'	'靠近蛇蛇'		seiryu-ex.js line#237
'Out of Middle, Toward Snakes'	'Raus aus der Mitte, Zu den Schlangen'	'Pas au centre, du côté des serpents'	'真ん中からずれて蛇向いて'	'靠近中心，面向蛇蛇'		seiryu-ex.js line#245
'Stack South'	'Im Süden stacken'	'Packez-vous au sud'	'南でスタック'	'南侧集合'		seiryu-ex.js line#280
'Stack if no tether'	'Stacken, wenn keine Verbindung'	'Packez-vous si pas de lien'	'線無しはスタック'	'未连线则集合'		seiryu-ex.js line#288
'Akh Morn on YOU'	'Akh Morn auf DIR'			'死亡轮回点名'		shinryu-ex.js line#82
'Akh Morn on ' + matches.target	'Akh Morn auf ' + matches.target			'死亡轮回点名'		shinryu-ex.js line#87
'Akh Rhai: spread and move'	'Akh Rhai: Verteilen und bewegen'			'天光轮回：散开和移动'		shinryu-ex.js line#97
'stop to get frozen'	'Stopp! Einfrieren lassen'			'停下，冰地面'		shinryu-ex.js line#168
'Stack in water'	'In Wasser stacken'			'在水圈攻击'		shinryu-ex.js line#173
'stop to get frozen'	'Stopp! Einfrieren lassen'			'停下，冰地面'		shinryu-ex.js line#180
'water'	'Wasser'			'水圈'		shinryu-ex.js line#185
'bait bolt, keep moving'	'Blitz ködern, weiterbewegen'			'闪电，保持移动'		shinryu-ex.js line#216
'Spread out, no water'	'Verteilen und nicht in\'s Wasser'			'散开，离开水圈'		shinryu-ex.js line#221
'bait bolt, keep moving'	'Blitz ködern, weiterbewegen'			'闪电，保持移动'		shinryu-ex.js line#228
'levinbolt'	'Blitz'			'离开闪电'		shinryu-ex.js line#233
'move away'	'wegbewegen'			'散开'		shinryu-ex.js line#250
'move away'	'weckbewegen'			'散开'		shinryu-ex.js line#258
'Death Sentence on YOU'	'Todesurteil auf DIR'			'死刑点名'		shinryu-ex.js line#398
'Death Sentence on ' + matches.target	'Todesurteil auf ' + matches.target			'死刑点名'+ matches.target		shinryu-ex.js line#403
'Death Sentence on ' + matches.target	'Todesurteil auf ' + matches.target			'死刑点名'+ matches.target		shinryu-ex.js line#411
'Death Sentence'	'Todesurteil'			'死刑'		shinryu-ex.js line#419
'break tethers then stack'	'Kette zerreissen, dann stack'			'拉断锁链然后攻击'		shinryu-ex.js line#518
'break tethers'	'Ketten zerreissen'			'拉断锁链'		shinryu-ex.js line#523
'break tethers then stack'	'Kette zerreissen, dann stack'			'拉断锁链然后攻击'		shinryu-ex.js line#530
'break tethers'	'Ketten zerreissen'			'拉断锁链'		shinryu-ex.js line#535
'earthshaker on you'	'Erdstoss auf dir'			'大地动摇点名'		shinryu-ex.js line#566
'avoid earthshakers'	'Stöße ausweichen'			'远离大地动摇'		shinryu-ex.js line#574
'avoid shakers'	'Stöße ausweichen'			'离开点名'		shinryu-ex.js line#582
'earthshaker'	'erdstoß'			'大地动摇'		shinryu-ex.js line#587
﻿'tank buster'	'tenkbasta'			'坦克死刑'		susano-ex.js line#112
'Knockback on you (cloud)'	'Rückstoss auf Dir (Wolke)'			'击退点名（雷云）'		susano-ex.js line#128
'Knockback + dice (STOP)'	'Rückstoss + Würfel (STOPP)'			'击退+水泡（静止）'		susano-ex.js line#133
'Knockback on YOU'	'Rückstoß auf DIR'			'击退点名'		susano-ex.js line#138
'knockback with cloud'	'Rückstoß mit wolke'			'雷云击退'		susano-ex.js line#145
'Knockback with dice'	'Rückstoß mit Würfel'			'水泡击退'		susano-ex.js line#150
'Levinbolt on you (cloud)'	'Blitz auf Dir (Wolke)'			'闪电点名（雷云）'		susano-ex.js line#169
'Levinbolt on you'	'Blitz auf dir'			'闪电点名'		susano-ex.js line#174
'bolt with cloud'	'blitz mit wolke'			'闪电带雷云'		susano-ex.js line#181
'bolt'	'blitz'			'闪电'		susano-ex.js line#186
'Stun: ' + matches.target	'Paralyse ' + matches.target			'击晕'+ matches.target		susano-ex.js line#207
﻿'Tank Buster on YOU'	'Tankbuster auf DIR'	'Tankbuster sur VOUS'		'死刑减伤'		suzaku-ex.js line#21
'Buster on ' + data.ShortName(matches.target)	'Tankbuster auf ' + data.ShortName(matches.target)	'Tankbuster sur ' + data.ShortName(matches.target)		'死刑->' + data.ShortName(matches.target)		suzaku-ex.js line#29
﻿'Tank Swap!'	'Tankwechsel!'	'Tank swap !'		'换T！'		tsukuyomi-ex.js line#43
'Get out of front'	'Weg von vorn'	'Ne restez pas devant !'		'远离正面'		tsukuyomi-ex.js line#72
'Left + ' + data.moonInOut	'Links + ' + data.moonInOut	'Gauche + ' + data.moonInOut		'左边 + ' + data.moonInOut		tsukuyomi-ex.js line#135
'Right + ' + data.moonInOut	'Rechts + ' + data.moonInOut	'Droite + ' + data.moonInOut		'右边 + ' + data.moonInOut		tsukuyomi-ex.js line#152
